"X","module","Gene.stable.ID","corr","Gene.name","tf_member","member"
1,"brown4","ENSGALG00000039982",-0.000541332450241435,"IRF5","brown4_ENSGALG00000039982","no"
2,"magenta","ENSGALG00000039982",-0.00878396037120916,"IRF5","magenta_ENSGALG00000039982","no"
3,"brown4","ENSGALG00000040060",-0.0488536870333904,"NRF1","brown4_ENSGALG00000040060","no"
4,"magenta","ENSGALG00000040060",-0.025548088870263,"NRF1","magenta_ENSGALG00000040060","no"
5,"brown4","ENSGALG00000029270",0.0115287700173303,"GATA3","brown4_ENSGALG00000029270","no"
6,"magenta","ENSGALG00000029270",-0.0112367830406725,"GATA3","magenta_ENSGALG00000029270","no"
7,"brown4","ENSGALG00000030844",0.0579313095002225,"DMTF1","brown4_ENSGALG00000030844","no"
8,"magenta","ENSGALG00000030844",0.00758220955110949,"DMTF1","magenta_ENSGALG00000030844","no"
9,"brown4","ENSGALG00000008249",0.0104095159524656,"DNAJC2","brown4_ENSGALG00000008249","no"
10,"magenta","ENSGALG00000008249",0.100774889060795,"DNAJC2","magenta_ENSGALG00000008249","no"
11,"brown4","ENSGALG00000008050",-0.0459154524297436,"HBP1","brown4_ENSGALG00000008050","no"
12,"magenta","ENSGALG00000008050",-0.0325369756404003,"HBP1","magenta_ENSGALG00000008050","no"
13,"brown4","ENSGALG00000038981",0.0191809447602538,"CBLL1","brown4_ENSGALG00000038981","no"
14,"magenta","ENSGALG00000038981",0.00935991297009564,"CBLL1","magenta_ENSGALG00000038981","no"
15,"brown4","ENSGALG00000032659",0.00234344981677948,"ZBED4","brown4_ENSGALG00000032659","no"
16,"magenta","ENSGALG00000032659",-0.0204109991601177,"ZBED4","magenta_ENSGALG00000032659","no"
17,"brown4","ENSGALG00000033997",0.0581082356945404,"ZNF800","brown4_ENSGALG00000033997","no"
18,"magenta","ENSGALG00000033997",0.0280251900780117,"ZNF800","magenta_ENSGALG00000033997","no"
19,"brown4","ENSGALG00000040557",-0.0176976377422989,"TFEC","brown4_ENSGALG00000040557","no"
20,"magenta","ENSGALG00000040557",-0.00611927923785018,"TFEC","magenta_ENSGALG00000040557","no"
21,"brown4","ENSGALG00000009424",0.144856703283639,"FOXP2","brown4_ENSGALG00000009424","no"
22,"magenta","ENSGALG00000009424",0.140199169052875,"FOXP2","magenta_ENSGALG00000009424","no"
23,"brown4","ENSGALG00000009454",0.0265513741596922,"ZNF277","brown4_ENSGALG00000009454","no"
24,"magenta","ENSGALG00000009454",0.0138020761218986,"ZNF277","magenta_ENSGALG00000009454","no"
25,"brown4","ENSGALG00000009494",0.0756637054729226,"THAP5","brown4_ENSGALG00000009494","no"
26,"magenta","ENSGALG00000009494",-0.000340524931193204,"THAP5","magenta_ENSGALG00000009494","no"
27,"brown4","ENSGALG00000009604",-0.395259808127312,"DBX2","brown4_ENSGALG00000009604","no"
28,"magenta","ENSGALG00000009604",-0.281299512341697,"DBX2","magenta_ENSGALG00000009604","no"
29,"brown4","ENSGALG00000033074",0.0364804810388542,"ARID2","brown4_ENSGALG00000033074","no"
30,"magenta","ENSGALG00000033074",-0.00937844106995472,"ARID2","magenta_ENSGALG00000033074","no"
31,"brown4","ENSGALG00000009875",-0.220471940142561,"HMGA2","brown4_ENSGALG00000009875","no"
