"sample","module_number","module","cluster","annotation"
"Poly10_int","3","brown","7-9-17-18-19-20-24-29","Mitotic_cell_cycle"
"Poly10_int","4","cyan","1-5-6-10-14-15-22-25-26-28","Neuron_HOX"
"Poly10_int","5","green","2-3-7-13-17-18-19","OPC-MFOL-Ribosome"
"Poly10_int","6","greenyellow","13","MFOL_late_stage"
"Poly10_int","7","grey60","3-6-7-15-22-25-26-28-29","Neuron_projection_development"
"Poly10_int","8","lightcyan","6-10-14-15-22-25-26-28","Neuron_intracellular_transport"
"Poly10_int","9","lightgreen","11","Floorplate"
"Poly10_int","10","lightyellow","6-10-14-15-22-25-26-28","Neuron_1"
"Poly10_int","11","magenta","29","Vasculature"
"Poly10_int","12","midnightblue","6-10-14-15-22-25-26-28","Neuron_2"
"Poly10_int","13","pink","6-10-14-15-22-25-26-28","Neuron_3"
"Poly10_int","14","purple","11-12-16-24","Roofplate"
"Poly10_int","15","red","6-10-14-15-22-25-26-28","Neuron_synaptic_contact"
"Poly10_int","16","salmon","26","CSF-cNS"
"Poly10_int","17","tan","27","Blood"
"Poly10_int","18","turquoise","1-4-5-9-11-12-16-21-23-24","Progenitors"
"Poly10_int","19","yellow","20-29","Pericytes"
