number,broad,fine
1,progenitors,prog
2,progenitors,dp4_GSX1
3,progenitors,dp1_3_PCNA_G2M
4,progenitors,dp1_3_PCNA_S
5,progenitors,dp5-p0_DBX2
6,neurons,V0_EVX1
7,progenitors,prog_G2M
8,neurons,dI3_dI5_V0
9,neurons,dI6-V0
10,progenitor,p2_pMN_p3
11,progenitors,dp6-p0
12,neurons,dI3_dI5
13,RP,RP
14,neurons,dI6-V0
15,FP,FP
16,neurons,MN
17,neurons,LHX1+_prog
18,progenitors,dp5-p0_DBX2
19,neurons,dI1
20,neurons,V1_EN1
21,pericytes,pericytes
22,neurons,V2b
23,neurons,V1_EN1_SST
24,neurons,V2a_SOX14_SHOX2_LHX3_VSX2
