number,broad,fine
1,OPC,OPC
2,progenitors,NPC
3,OPC,OPC
4,OPC,OPC
5,progenitors,NPC
6,progenitors,NPC
7,MFOL,MFOL
8,neurons,inhibitory_neurons
9,RP,RP
10,neurons,inhibitory_neurons
11,neurons,excitatory_neurons
12,progenitors,NPC
13,FP,FP
14,progenitors,NPC
15,pericytes,pericytes
16,progenitors,NPC
17,progenitors,NPC
18,neurons,inhibitory_neurons
19,neurons,MN
20,progenitors,NPC
